,mail_content
28,"THE LIGHTHOUSE
""Enlightening Ideas for Public Policy...""
Vol. 3, Issue 47
November 26, 2001

Welcome to The Lighthouse, the e-mail newsletter of The Independent 
Institute, the non-politicized, public policy research organization 
<http://www.independent.org>. We provide you with updates of the 
Institute's current research publications, events and media programs.

Do you know someone who would enjoy THE LIGHTHOUSE? Please forward 
this message to a friend. If they like it, they can add themselves to 
the list at http://www.independent.org/tii/lighthouse/Lighthouse.html.

"
29,"Harry,

Thank you for taking time last week to meet with me and for arranging the
other meetings as well.  I enjoyed our discussion and learning about the
various opportunities within Enron.  I have been impressed with every group
at Enron.  I hope that we can keep in touch over the next few months.

Thank you again.

Sincerely,


Vic


Vic Gatto
Owen Graduate School of Management
Vanderbilt Universtiy
(615) 292-7414
"
30,"Bob, sorry for the confusion.  Talk with Ziad.  He said an example could be
found on page 22 of the attached document.

http://www.caiso.com/docs/2000/04/13/2000041317243312125.pdf


Take care.

Keoni Almeida
California Independent System Operator
phone: 916/608-7053
pager:  916/814-7352
"
31,"In Energy Insight for Friday, August 25
In Energy Insight Today (Blue Banner, all subscribers)
With more power in the possession of fewer companies, the amount of
generating capacity a big utility needs to compete in the marketplace is
rising.  Find out just how many tens of thousands of megawatts constitutes
""big"" these days, including a list of the biggest, at
http://www.einsight.com.

Also in Energy Insight Today, European news headlines from FT Energy's team
of London-based editors.

In Energy Insight 2000 (Red Banner, premium-pay access only)
In Energy Insight Energy Services:  Energy industry business-to-business
exchanges could save utilities millions of dollars in procurement and
billing, but first they must head off antitrust issues that have plagued
other business sectors.  Details at http://www.einsight.com.

In Energy Insight Fuels:  Environmental concerns about coal, supply
shortages in natural gas plus improvements in the efficiency and design of
nuclear plants may equate to a rebound in uranium-fueled power.  Read about
it at http://www.einsight.com.

********************
News Brief

+High Cost of Oil and Natural Gas Puts FPL $518 Million Behind in Fuel
Expense Recovery

Faced with skyrocketing oil and natural gas prices and heavy seasonal demand
for electricity, Florida Power & Light Company has filed preliminary
paperwork with the Florida Public Service Commission identifying $518
million in expenses above projections for fuel burned to produce electricity
in 2000. FPL will file with the Commission in September for permission to
recover the expense in customer bills beginning Jan. 1, 2001.

Part of this increase will be offset by a refund to customers that is
currently estimated to be $75 million to $100 million. The refund is
pursuant to an agreement reached in April 1999 with the Office of the Public
Counsel and the FPSC that provides for revenue sharing between FPL and its
customers, as well as a 6% annual rate reduction for three years. As a
result of the forecasted fuel costs and the expected rebate, residential
electric rates could increase by approximately 13% per kilowatt-hour.

The cost of oil used to generate electricity has more than doubled since the
first quarter of 1999 and has not been this high since the Gulf War in 1990.
Since January 2000, oil prices have increased 44% per barrel. Natural gas
prices also have risen unabated, climbing 77% since January 2000. With the
onset of winter, natural gas prices may increase further as demand for
heating fuel increases.

/////////////////////

Market Brief    Thursday August 24
Stocks  Close   Change  % Change
DJIA    11,182.74       38.1    0.3
DJ 15 Util.     358.51  (5.7)   (1.6)
NASDAQ  4,053.28        42.3    1.1
S&P 500 1,508.31        2.3     0.2

Market Vols     Close   Change  % Change
AMEX (000)      50,373  (7,710.0)       (15.3)
NASDAQ (000)    1,548,008       85,370.0        5.5
NYSE (000)      825,146 (41,307.0)      (5.0)

Commodities     Close   Change  % Change
Crude Oil (Oct) 31.63   (0.39)  (1.23)
Heating Oil (Sep)       0.9533  (0.00)  (0.29)
Nat. Gas (Henry)        4.54    (0.07)  (1.43)
Palo Verde (Sep)        177     0.00    0.00
COB (Sep)       191     8.00    4.19
PJM (Sep)       33      0.50    1.52

Dollar US $     Close   Change  % Change
Australia $     1.745   (0.01)  (0.40)
Canada $        1.487   0.00    0.10
Germany Dmark   2.166   (0.01)  (0.46)
Euro    0.9017  (0.00)  (0.11)
Japan _en     106.83  (0.23)  (0.21)
Mexico NP       9.205   (0.02)  (0.18)
UK Pound        0.6749  0.00    0.25

Foreign Indices Close   Change  % Change
Arg MerVal      470.51  2.87    0.61
Austr All Ord.  3,330.40        7.70    0.23
Braz Bovespa    17,310.96       (139.48)        (0.81)
Can TSE 300     11,178.98       71.17   0.64
Germany DAX     7,230.26        (2.52)  (0.03)
HK HangSeng     17,439.70       12.30   0.07
Japan Nikkei 225        16,670.82       234.17  1.40
Mexico IPC      6,293.55        (73.45) (1.17)
UK FTSE 100     6,557.04        (9.20)  (0.14)
Source: Yahoo! and NYMEX                         "
32,"Susan,

Just wanted to check to see if anyone has helped you on your livelink issues.

Let me know if they have called you or helped you.

Thanks, Kien


Kien N. Luu
Specialist
Enron Desktop Support
"
33,"Check out this link, and then read the story below.
http://www.telegraph.co.uk/et?ac=000625542412043&rtmo=aq4CTWTJ&atmo=99999999&p
g=/et/00/4/20/nmar20.html



 WAKE UP AMER  A, THIS IS WHY OUR
 FOUNDING FATHERS PUT THE SECOND
 AMENDMENT IN OUR CONSTITUTION

Where We're Headed
    By Robert A. Waters
****************************************************************

 You're sound asleep when you hear a thump outside your
 bedroom door.

 Half-awake, and nearly paralyzed with fear, you hear muffled
 whispers. At least two people have broken into your house
 and are moving your way.

 With your heart pumping, you reach down beside your bed
 and pick up your shotgun. You rack a shell into the
 chamber, then inch toward the door and open it.

 In the darkness, you make out two shadows. One holds a
 weapon--it looks like a crowbar.

 When the intruder brandishes it as if to strike, you raise the
 shotgun and fire. The blast knocks both thugs to the floor.
 One writhes and screams while the second man crawls to
 the front door and lurches outside.

 As you pick up the telephone to call police, you know you're
 in trouble. In your country, most guns were outlawed years
 before, and the few that are privately owned are so stringently
 regulated as to make them useless.
 Yours was never registered.

 Police arrive and inform you that the second burglar has died.
 They arrest you for First Degree Murder and Illegal
 Possession of a Firearm.

 When you talk to your attorney, he tells you not to worry:
 authorities will probably plea the case down to manslaughter.
 ""What kind of sentence will I get?"" you ask.
 ""Only ten-to-twelve years,"" he replies, as if that's nothing.
 ""Behave yourself, and you'll be out in seven.""

 The next day, the shooting is the lead story in the local
 newspaper. Somehow, you're portrayed as an eccentric
 vigilante while the two men you shot are represented as choir
 boys. Their friends and relatives can't find an unkind word to say
 about them. Buried deep down in the article, authorities
 acknowledge that both ""victims"" have been arrested numerous
 times. But the next day's headline says it all:
 ""Lovable Rogue Son Didn't Deserve to Die."" The thieves have
 been transformed from career criminals into Robin Hood-type
 pranksters.

 As the days wear on, the story takes wings. The national media
 picks it up, then the international media.

 The surviving burglar has become a folk hero. Your attorney
 says the thief is preparing to sue you, and he'll probably win.

 The media publishes reports that your home has been
 burglarized several times in the past and that you've been
 critical of local police for their lack of effort in apprehending the
 suspects. After the last break-in, you told your neighbor that you
 would be prepared next time. The District Attorney uses this to
 allege that you were lying in wait for the burglars.

 A few months later, you go to trial. The charges haven't been
 reduced, as your lawyer had so confidently predicted. When
 you take the stand, your anger at the injustice of it all works
 against you. Prosecutors paint a picture of you as a mean,
 vengeful man.

 It doesn't take long for the jury to convict you of all charges.

 The judge sentences you to life in prison.

__________________________________________

 This case really happened.

***********************************
 On August 22, 1999, Tony Martin of Emneth, Norfolk, England,
 killed one burglar and wounded a second. In April, 2000, he was
 convicted and is now serving a life term.

 How did it become a crime to defend one's own life in the
 once-great British Empire?

 It started with the Pistols Act of 1903. This seemingly
 reasonable law forbade selling pistols to minors or felons and
 established that handgun sales were to be made only to those
 who had a license. The Firearms Act of 1920 expanded licensing
 to include not only handguns but all firearms except shotguns.
 Later laws passed in 1953 and 1967 outlawed the carrying of
 any weapon by private citizens and mandated the registration of
 all shotguns.

 Momentum for total handgun confiscation began in earnest after
 the Hungerford mass shooting in 1987. Michael Ryan, a
 mentally disturbed man with a Kalashnikov rifle, walked down
 the streets shooting everyone he saw. When the smoke cleared,
 17 people were dead.

 The British public, already de-sensitized by eighty years of ""gun
 control"", demanded even tougher restrictions. (The seizure of all
 privately owned handguns was the objective even though Ryan
 used a rifle.)

 Nine years later, at Dunblane, Scotland, Thomas Hamilton used
 a semi-automatic weapon to murder 16 children and a teacher at
 a public school.

 For many years, the media had portrayed all gun owners as
 mentally unstable, or worse, criminals. Now the press had a real
 kook with which to beat up law-abiding gun owners. Day after day,
 week after week, the media gave up all pretense of objectivity and
 demanded a total ban on all handguns.
 The Dunblane Inquiry, a few months later, sealed the fate of the
 few sidearms still owned by private citizens.

 During the years in which the British government incrementally
 took away most gun rights, the notion that a citizen had the right
 to armed self-defense came to be seen as vigilantism. Authorities
 refused to grant gun licenses to people who were threatened,
 claiming that self-defense was no longer considered a reason to
 own a gun. Citizens who shot burglars or robbers or rapists were
 charged while the real criminals were released. Indeed, after the
 Martin shooting, a police spokesman was quoted as saying, ""We
 cannot have people take the law into their own hands.""

 All of Martin's neighbors had been robbed numerous times, and
 several elderly people were severely injured in beatings by young
 thugs who had no fear of the consequences. Martin himself, a
 collector of antiques, had seen most of his collection trashed or
 stolen by burglars.

 When the Dunblane Inquiry ended, citizens who owned handguns
 were given three months to turn them over to local authorities.
 Being good British subjects, most people obeyed the law. The few
 who didn't were visited by police and threatened with ten-year
 prison sentences if they didn't comply.

 Police later bragged that they'd taken nearly 200,000 handguns
 from private citizens.

 How did the authorities know who had handguns?

 The guns had been registered and licensed. Kinda like cars.

 Sound familiar?

 WAKE UP AMERICA, THIS IS WHY OUR
 FOUNDING FATHERS PUT THE SECOND
 AMENDMENT IN OUR CONSTITUTION.



 - att1.htm
"
34,"
yea ill go, the deluxe meal sounds better to me as well
Scott
> "
35,"According to our system records, you have not yet logged into the Enron 
Performance Management system (PEP).   As a result your temporary password 
for the PEP system has expired.  Your  User Id and new password are provided 
below.

During the feedback phase you will need to access PEP at 
http://pep.corp.enron.com to suggest reviewers who can provide feedback on 
your performance.  You may also be requested to provide feedback on fellow 
employees, but the system will only be open for feedback until November 17th!

HelpDesk representatives will be available to answer questions throughout the 
process.  You may contact the HelpDesk at:

Houston:  1-713-853-4777, Option 4
London:  44-207-783-4040, Option 4
"
36,"i'm good for Friday... O 

"
37,"MAKE SURE YOU TURN UP YOUR MUSIC..
>  
>  
 - DANCEOFF.exe
"
38,"lets make it worthwhile - how about $500?


   
	Enron North America Corp.
	
"
39,"Remember - all pickup requests must now be sent through Pat Ryder at 
"
40,"PLEASE READ BELOW!!!
"
41,"Thank you for attending our first users' meeting. We appreciate your
interest and commitment in building liquid, accurate hourly instruments that
will serve your companies' requirements. It is our mission to provide
accurate, unbiased indexes that include the greatest number of applicable
participants possible.

The attached hub definitions and methodology for the Cinergy hub -- a result
of dozens of interviews with market participants -- have been in place since
last September. As you're well aware, numerous traders have done index deals
and swaps off our hourly indexes.

If you want to trade off these indexes via instant messaging, please reply
with your instant messaging address, and whether you'd like to see us
develop a forum for such trading. You may also contact your favorite online
trading platform representatives re: offering hourly financial swaps.

Bobette

Bobette Riner
Director, Traders News Indexes
TradersNews Energy
713/647-8690
FAX: 713/647-7552
cell: 832/428-7008
"
42,"

 "
43,"Congratulations!  That is FANTASTIC!  When is the date?  When will you next be in town?  I'll buy you a beer in celebration.

Take care,

Don

 "
44,"As of Friday, October 13, it seems that this student had not heard back from 
Enron.  What is the timeline for getting back to students regarding Super 
Saturday?  
"
45,"I believe Neil Tarling - Controller EBS Europe - has been omitted from the 
list. If you have room - and Fernley/Steve are OK - it would be great if he 
were invited.

Thanks.

Barry.
"
46,"James Scribner is enrolled in Wellhead to Burner Tip

Class Days and Times:
  7/18/2000  08:00:00 AM - 05:00:00 PM
  7/19/2000  08:00:00 AM - 12:00:00 PM
Participant Fee: $600.00


Thank you for your support in providing quality and cost effective 
development opportunites at Enron.  
Your Company and RC will be charged $600.00

If you have any questions, please call the Development Center Team at 
713-853-0357.

Thank you."
47,"Could you please ensure that sufficient resources are dedicated to fixing the 
current VAR calculation problem as soon as possible.   Jenny, Stacey, and 
Vlady  are spending a significant amount of time trying to repair the VAR 
calc model, which is outside the scope of what we originally discussed in our 
meeting several weeks ago.

Your attention to get quick resolution to this issue would be greatly 
appreciated.

Thanks Sally."
48,"The draft of the memo looks good.  However, your memo says that the memo will 
be sent to all US employees of ENA.  ENA by definition includes Canada and 
Mexico.  Therefore, please send the memo to all ENA employees, not just those 
in the US.  Several of those referenced in the memo as being promoted work in 
our Calgary office, so the memo should certainly be sent to those employees 
in Calgary.  I am at x35926 if you have any questions.  "
49,"CONGRATULATIONS!!!!!!!!!!!!!!!!!!!!

It's time they realise just how good a manager you are.

Call me later for lunch when you have time.

thanks

bob
"
50,"Attached please find a completed employee profile for Brent Price for 
consideration for promotion to Vice President.  Please call me if you have 
any questions.  
"
51,"Meant to copy you on this note.  I will either see you on Thursday next week, 
or on Monday the 19th.  --Sally 
"
52,"FYI - 

Sally - Bob and/or I will keep you posted on how we get on.  It may be a 
better outcome if we can sell our imbalances to AEP as we will have a hard 
time resolving them after the Close.

Brian

 "
53,"A quick update on the ""inaugural"" Analyst Orientation scheduled for 
Wednesday, July 19th at The Doubletree Hotel.   The room locations have not 
been released and I will advise you when I receive the information.   An 
estimated 73 analysts will be attending the orientation. 

I have received most of your presentations and bios and appreciate your 
attention to the deadline.  However,  I am still pending a few presentations, 
bios and a speaker and I have spoken to you regarding that status.  If you 
have a pending item, please call me at x33597 or forward your presentation 
and/or bio to me by Wednesday, June 28th by 4:00 p.m.   Please keep in the 
mind the PRC meetings and holiday weekend.

We will have the standard audio visual set-up complete with LCD projector, 
laser pointer and flip charts.   If you have any other presentation or audio 
visual requests, please call me at x33597.   

Thank you for your assistance in the matter.   


July 19, 2000

10:30 - 11:00 ENA Overview  Ozzie Pagan

11:00 - 11:30 Trading Activity  Colleen Sullivan & Julie Armstrong

11:30 - 12:00 Trading & Origination Jeff Shankman & Janet Dietrich

1:00 - 1:30 Deal Support  EOPS Speaker & Mark Frank

1:30 - 2:00 Upstream  Brian Redmond"
54,"Below is a list of books officialized each day by Financial Trading Risk 
Management.  All other books calculated and not officialized, are used for PL 
comparison only.  The positions and VAR from these books not officialized 
reside in the Equity Trader System and the Infinity Trading System for IR/FX.

Agricultural Trading Book List:
Fin-Agri-Grain   Primary BA:  Israel Estrada Back up BA:  Aneela Charania
Fin-Agri-Soft Primary BA:  Israel Estrada Back up BA:  Aneela Charania
Fin-Agri-Meat Primary BA:  Israel Estrada Back up BA:  Aneela Charania


Thanks,
Theresa"
55,"Per our conversation last week, I am sending you the latest staffing
assignments for my Diamond folks. Please note that there are two distinct
teams: one for business and one for technology/development. Please review
the attached slides and send comments back directly to me.

Thanks!

Jeff

(See attached file: ENW_StaffingUpdate_101600.ppt)
 - ENW_StaffingUpdate_101600.ppt"
56,"Sally

Congratulations on your new role.=20
If you were not already aware, I am now in RAC in Houston and I suspect our=
=20
responsibilities will mean we will talk on occasion.
I look forward to that.

Best regards
David
"
57,"As of 10:00 AM Thursday pipeline reports indicate that all of our resubmitted 
nominations have been confirmed by the pipelines and our counterparties and 
will be scheduled correctly.  These nominations were resubmitted on the first 
Intraday cycle (6:00 PM on the day prior to flow).

As a result I do not expect any monetary impact from yesterdays outage. I 
will keep you posted if anything further develops.

Bob Superty x30957"
58,"This is a reminder !!!!!  There will be a Friday Meeting August 18, 2000.  
This meeting replaces the every Friday Meeting and will be held every other 
Friday.

     
    Date:  Friday August 18, 2000

    Time:  2:30 pm - 4:30 pm

    Location: 30C1  
 
    Topic:   ENA Management Committee

      


If you have any questions or conflicts, please feel free to call me (3-0643) 
or Bev (3-7857).

Thanks,

Kay 3-0643"
59,"Dear OU Recruiting Team:

I just wanted to send an update to let you all know that all 5 Summer 2000 
Interns from OU have been extended offers!!!

Those interns are:

Emily Ferguson
Blake Lasuzzo
Scott Neuendorf
Clay Shamblin
Michelle Terry (12/01 grad date -- has invitation to intern next summer)

I will be in touch with various team members to insure our cultivation 
efforts.

Congratulations on a 100% success rate!!!

lexi
3-4585"
60,"Per Ted's request, I am forwarding you a copy of the most recent Board 
Approved Risk Management Policy.

Thanks,

Veronica
"
61,"NOTE:  YOU WILL RECEIVE THIS MESSAGE EACH TIME YOU ARE SELECTED AS A REVIEWER.

You have been selected to participate in the Year End 2000 Performance 
Management process by providing meaningful feedback on specific employee(s).  
Your feedback plays an important role in the process, and your participation 
is critical to the success of Enron's Performance Management goals.

To complete requests for feedback, access PEP at http://pep.corp.enron.com 
and select Perform Review under Performance Review Services.  You may begin 
providing feedback immediately and are requested to have all feedback forms 
completed by Friday, November 17, 2000.

If you have any questions regarding PEP or your responsibility in the 
process, please contact the PEP Help Desk at:

Houston: 1.713.853.4777, Option 4
London:  44.207.783.4040, Option 4
"
62,"I have not received the information requested below from either yourself or 
your Book Admins. Please supply it to me no later than close of business 
Wednesday, November 15, 2000. If you have any questions regarding the 
spreadsheet, please do not hesitate to call or email me. Thanks 
"
63,"Team,
 although there are several candidates still outstanding, here is a list of 
all of the OU
students who have sent in there paperwork with signed offer letters:

Jodi Crook
Fafael Avila
Michael Benien
Justin O Malley
Samuel Pak
Angie Zehman
Michelle Terry 
Clay Shamblin
Blake Lasuzzo

Once again, I would like to thank the team for all of the hard work and 
dedication to this recruiting effort
and with this kind of team work we can continue to build strong relationships 
and increase Enron knowledge.
This was an outstanding recruiting effort, thanks again.
       George Hope"
