,key_words
20,"(20, '0.053*""power"" + 0.029*""market"" + 0.026*""energy"" + 0.023*""gas"" + 0.017*""epmi"" + 0.013*""ferc"" + 0.013*""capacity"" + 0.012*""counterparties"" + 0.011*""california"" + 0.010*""transmission""')"
21,"(21, '0.025*""travel"" + 0.019*""way"" + 0.013*""travelocity"" + 0.013*""hotel"" + 0.012*""ca"" + 0.012*""book"" + 0.011*""city"" + 0.010*""night"" + 0.010*""car"" + 0.009*""fares""')"
22,"(22, '0.091*""date"" + 0.080*""schedules"" + 0.053*""portland"" + 0.049*""schedule"" + 0.047*""scheduling"" + 0.044*""messages"" + 0.043*""final"" + 0.039*""parsing"" + 0.039*""variances"" + 0.037*""description""')"
23,"(23, '0.084*""credit"" + 0.040*""transaction"" + 0.021*""bill"" + 0.015*""bank"" + 0.012*""report"" + 0.011*""williams"" + 0.010*""contact"" + 0.010*""payment"" + 0.008*""margin"" + 0.008*""group""')"
24,"(24, '0.072*""agreement"" + 0.040*""language"" + 0.033*""form"" + 0.030*""tax"" + 0.029*""swap"" + 0.029*""shall"" + 0.027*""option"" + 0.026*""section"" + 0.017*""susan"" + 0.017*""termination""')"
25,"(25, '0.073*""dave"" + 0.039*""tw"" + 0.031*""jason"" + 0.030*""tom"" + 0.029*""whalley"" + 0.026*""joe"" + 0.025*""signed"" + 0.023*""ed"" + 0.021*""fine"" + 0.016*""ted""')"
26,"(26, '0.021*""round"" + 0.018*""aware"" + 0.016*""ice"" + 0.013*""dan"" + 0.013*""college"" + 0.011*""terminal"" + 0.009*""men"" + 0.009*""dr"" + 0.009*""research"" + 0.008*""presentations""')"
27,"(27, '0.086*""updated"" + 0.030*""agent"" + 0.021*""bar"" + 0.020*""reports"" + 0.018*""multexinvestor"" + 0.016*""qb"" + 0.014*""ward"" + 0.013*""thomas"" + 0.013*""green"" + 0.013*""golf""')"
28,"(28, '0.072*""gas"" + 0.046*""usa"" + 0.043*""energy"" + 0.038*""natural"" + 0.027*""oil"" + 0.020*""united"" + 0.020*""kingdom"" + 0.018*""dynegy"" + 0.015*""report"" + 0.014*""news""')"
29,"(29, '0.155*""database"" + 0.084*""iso"" + 0.050*""txt"" + 0.047*""detected"" + 0.046*""ancillary"" + 0.025*""file"" + 0.015*""cell"" + 0.014*""download"" + 0.013*""data"" + 0.010*""bt""')"
30,"(30, '0.048*""awarded"" + 0.042*""committee"" + 0.022*""reuters"" + 0.022*""performance"" + 0.021*""may"" + 0.020*""members"" + 0.019*""feedback"" + 0.018*""member"" + 0.017*""management"" + 0.016*""futures""')"
31,"(31, '0.024*""company"" + 0.021*""million"" + 0.011*""market"" + 0.010*""stock"" + 0.010*""exchange"" + 0.009*""year"" + 0.008*""businessweek"" + 0.008*""investors"" + 0.008*""business"" + 0.008*""financial""')"
32,"(32, '0.064*""houston"" + 0.037*""eb"" + 0.023*""th"" + 0.022*""st"" + 0.021*""tickets"" + 0.017*""texas"" + 0.015*""sara"" + 0.015*""center"" + 0.014*""continental"" + 0.008*""grand""')"
33,"(33, '0.056*""legal"" + 0.035*""ena"" + 0.032*""houston"" + 0.028*""london"" + 0.020*""counsel"" + 0.018*""ews"" + 0.017*""mm"" + 0.016*""department"" + 0.016*""mark"" + 0.012*""corp""')"
34,"(34, '0.083*""info"" + 0.051*""cgi"" + 0.033*""bin"" + 0.020*""deleted"" + 0.016*""buy"" + 0.016*""ab"" + 0.015*""cd"" + 0.013*""cdnow"" + 0.013*""pl"" + 0.013*""rpm""')"
35,"(35, '0.220*""image"" + 0.012*""us"" + 0.012*""full"" + 0.011*""news"" + 0.011*""story"" + 0.009*""bureau"" + 0.009*""view"" + 0.008*""posting"" + 0.007*""change"" + 0.006*""expedia""')"
36,"(36, '0.038*""good"" + 0.032*""looks"" + 0.029*""like"" + 0.029*""accenture"" + 0.024*""sounds"" + 0.024*""trailing"" + 0.022*""locate"" + 0.021*""added"" + 0.019*""etc"" + 0.019*""ect""')"
37,"(37, '0.028*""price"" + 0.025*""day"" + 0.019*""term"" + 0.019*""mwh"" + 0.017*""total"" + 0.016*""month"" + 0.015*""contract"" + 0.015*""mmbtu"" + 0.014*""deal"" + 0.014*""rate""')"
38,"(38, '0.108*""asp"" + 0.099*""request"" + 0.062*""id"" + 0.052*""page"" + 0.042*""approval"" + 0.033*""com"" + 0.028*""default"" + 0.025*""folder"" + 0.020*""corp"" + 0.017*""days""')"
39,"(39, '0.038*""jeff"" + 0.025*""letter"" + 0.023*""ken"" + 0.023*""lay"" + 0.019*""skilling"" + 0.018*""release"" + 0.017*""interview"" + 0.014*""missing"" + 0.012*""tariff"" + 0.012*""cp""')"
40,"(40, '0.019*""new"" + 0.016*""plan"" + 0.013*""cst"" + 0.012*""pay"" + 0.011*""savings"" + 0.011*""funds"" + 0.011*""fund"" + 0.010*""july"" + 0.010*""november"" + 0.010*""xms""')"
41,"(41, '0.159*""dbcaps"" + 0.146*""data"" + 0.073*""cannot"" + 0.062*""operation"" + 0.056*""perform"" + 0.035*""stacey"" + 0.022*""enpower"" + 0.014*""deliveries"" + 0.010*""dist"" + 0.009*""unable""')"
42,"(42, '0.037*""financial"" + 0.035*""trading"" + 0.034*""physical"" + 0.029*""power"" + 0.023*""products"" + 0.023*""enrononline"" + 0.018*""transactions"" + 0.017*""risk"" + 0.015*""deal"" + 0.014*""deals""')"
43,"(43, '0.109*""br"" + 0.069*""net"" + 0.064*""images"" + 0.061*""gif"" + 0.041*""com"" + 0.040*""href"" + 0.035*""text"" + 0.035*""jpg"" + 0.025*""script"" + 0.024*""clear""')"
44,"(44, '0.026*""access"" + 0.021*""information"" + 0.017*""user"" + 0.017*""password"" + 0.016*""site"" + 0.015*""system"" + 0.013*""new"" + 0.013*""contact"" + 0.012*""outlook"" + 0.012*""available""')"
45,"(45, '0.124*""error"" + 0.054*""message"" + 0.048*""information"" + 0.035*""sheet"" + 0.028*""intended"" + 0.027*""use"" + 0.026*""may"" + 0.026*""confidential"" + 0.026*""llc"" + 0.024*""lt""')"
46,"(46, '0.069*""data"" + 0.027*""barrel"" + 0.025*""software"" + 0.016*""systems"" + 0.016*""outage"" + 0.013*""users"" + 0.012*""liz"" + 0.010*""transaction"" + 0.009*""behalf"" + 0.008*""developed""')"
47,"(47, '0.057*""time"" + 0.038*""order"" + 0.038*""service"" + 0.035*""trade"" + 0.032*""customer"" + 0.023*""account"" + 0.023*""confirmation"" + 0.019*""central"" + 0.017*""us"" + 0.016*""standard""')"
48,"(48, '0.282*""com"" + 0.202*""www"" + 0.040*""htm"" + 0.038*""html"" + 0.036*""width"" + 0.017*""link"" + 0.014*""go"" + 0.012*""pdf"" + 0.011*""news"" + 0.011*""research""')"
49,"(49, '0.140*""attached"" + 0.042*""comments"" + 0.040*""doc"" + 0.040*""see"" + 0.037*""report"" + 0.036*""draft"" + 0.033*""find"" + 0.031*""changes"" + 0.031*""file"" + 0.027*""questions""')"
