,mail_content
15,"Good to hear from you.
After a great F, had an okay G.  Held a lot of term length on the risk/reward 
play.  Figured if we got no weather, all the customer and generator buying 
would be my stop.  It was.  Amazing that for the drop in price in H, the 
strips have really gone nowhere.  just a big chop fest.  
i here your arguments, but think they are way exagerated.  Agree with 1.5-2 
bcf/d more supply. Call it 2 with LNG.  Imports from Canada should be 
negligible.  Now let's assume price for the summer is $4.  No switching, full 
liquids extraction, methanol and fertilizer running.  Electric generation 
demand, considering problems in west and very low hydro, around 1.5 bcf/d 
greater this year with normal weather.  Means you have to price 2 bcf/d out 
of market.  Don't think $4 does that.  What level did we start really losing 
demand last year?  It was higher than 4.   concerned about recession in 
industrial sector thats occuring right now.
Think gas is fairly valued here.  Dont think we're going to 7.  But I think 
fear of market considering what happened this past year will keep forward 
curve very well supported through spring.  we're already into storage 
economics so the front goes where the forward curve wants to go.  




"
16,"i'm free all week right now. prefer early in the week




"
17,"my polling location is the knights of columbus hall. 

what exactly is a knight of columbus?"
18,"yes i did




"
19,"where's the site that i can sell my vote?




"
20,"Kim:
2 tix for Rent this Sat night will be waiting for you at will call at the 
theatre.  Bring ID.
If you have any problems call the ticket agency at 212 302 1643 or me at 713 
557 3330.
Have fun,
John"
21,"Please change as indicated
"
22,"Cast
John Arnold
Bill Perkins
Dean Theriot (trainer)

Dean: What's your favorite restaurant?
John: Why, are you trying to make Valentine's Day plans?
Dean : No.  I'm ready.  I've already bought a Valentine's card.
Bill : John's ready too.  He already has his Valentine's hickey."
23,"Ina:
Can you change my meeting with Sheriff's boys to Tueday after 3:00 from 
Monday.
Also, stick me on thedistribution for the Enron press pack that has all the 
articles in which Enron is mentioned.
Thanks"
24,"Don't even think you're getting out of this with the ""for a while"" crap.  
Just for that you can add a star to the place we're going.


"
25,"i think we would rally if march were the only thing traded.  Problem is 
summer and on out so weak.  trade scale up seller of jv as it gets close to 
600.  some customer selling in cal 2.  so h/j and j/k need to blow out 
because no other spread is moving.  i'm a seller of j/k so h/j needs to 
blow.  all other trade is scale up seller of that so it can move but slowly.  
it's a struggle each penny at this point.  at least one spread needs to break 
if we're going to run and i don't see that happening.





"
26,"cute girlfriends....    I'm in


"
27,cute girlfriends....   I'm in
28,"yea, i'll talk to them.

who should i call?




"
29,"yep




"
30,"we need one more good shot of cool air to ensure complete and utter chaos for 
the next 10 months.  hopefully this is it.  
you gotta love heffner...'if we take out the jan 31 low there is NO WAY 
anything bullish can happen'





"
31,"Folks:

John and Sireesha have just pushed to staging a bunch of enhancements / bug 
fixes / new features.  Included in them are:

 1.  Configurable Questionnaire
 2.  Invitee Lists Part I (this does NOT include the upload of the contact 
lists)
 3.  User Statistics
 4.  Fix for the Issuing Entity
 5.  Auction security fix
 6.  Auction enhancements Part I 
 7.  Rewrite of the view deal page impacting permission levels in EVERY domain
 8.  The Adapter for the User Registration piece (this should be seamless to 
the user, but be happy that     this change ELIMINATES message brokers from 
this process)
 9.  Various bug fixes including those relating to view closing etc.

The remaining auction enhancements are planned to be pushed sometime early 
next week.

I would recommend everybody spend some time testing next week and reflect 
their comments / suggestions to John and I.  

The location of the test site is:  http://testfinweb1.ecomtest.enron.com.  
You also need to establish new IDs and passwords (since your production IDs 
and Passwords will not work!).  The admin ID and password (if you need to 
approve users and deals to test them are - ID: jspitz; Pwd: pass).

We do PLAN on pushing all this stuff to PRODUCTION (barring any major bugs or 
mishaps) next FRIDAY - Dec 8th, 2000.

Look forward to your comments.  Thanks.  SR:-)"
32,"Folks:

Attached is an updated testing script for your benefit.  Please feel free to 
add additional steps if I have missed anything to this list.  Thanks.  SR:-)
"
33,"Market Participants:

The Market Separation Study - Appendix C of the Comprehensive Market
Redesign (CMR) Recommendation is now posted to the CAISO website at
http://www.caiso.com/clientserv/congestionreform.html

Regards,
Byron Woertz
Director, Client Relations"
34,"  The ISO will be hosting a Participating Load Stakeholder
meeting on September 20, 2000 at the ISO.  The meeting is a broad
stakeholder meeting to help refine our load participation programs for 2001.
Much of the day will be committed to presentations and discussions on
lessons learned from 2000 and proposals for 2001, including technical
standards, contractual issues, and load management.

  Some vendors have approached the ISO with systems that would
aggregate loads, give them an opportunity to curtail based on day ahead
energy prices, and provide the curtailment instructions and verifications.
This type of program may be ultimately sold to ESPs or IOUs. In order to
accelerate the testing of such systems the ISO may sponsor a pilot program
to test the system/approach with selected vendors.  The pilot program will
test the concepts, the interfaces, and assist in bringing together vendors,
ESPs, SCs, and the IOUs as we move forward toward improving demand
responsiveness in our markets.  We have reserved about 1 -2 hours in the
afternoon, to allow 3-4 vendors to present their approaches to the
stakeholder group.

  In addition, we welcome you to visit a vendor fair that the
ISO is hosting on September 21, 2000.  The ISO has  experienced
considerable interest from the market place in such a vendor fair that would
include entities providing Data Processing Gateway technology for both
Generators and Loads in the Participating Ancillary Services Load Program.
This effort is being encouraged to develop multiple solutions pertaining to
installations of direct telemetry for Generators and Load providing
Ancillary Services to the ISO markets.

  The agendas are attached for both events, including
directions and lodging information.
  Please RSVP by September 13, 2000 to Sue Happ at
"
35,"Fran,
 What is your phone number?

Bob"
36,"i don't think we are going to be able to make it out that way tonight.  but 
we will see you at Pappasitos at 8:00 tomorrow (the Kirby and Richmond 
location).




"
37,"BUSINESS HIGHLIGHTS

TRANSACTION DEVELOPMENT
Transaction Development, headed by Rodney Malcolm, works with Pulp & Paper,=
=20
Lumber and Steel to structure and execute some of the more complex deals. =
=20
Members of the Transaction Development team have a strong track record of=
=20
closing structured transactions involving both capital and commodity risks.=
 =20
Sample deals would include working on the acquisition of Garden State Paper=
=20
earlier this year, and structuring and pitching the first all requirements,=
=20
index based, physical steel supply contract to one of the largest players i=
n=20
the steel servicing segment of the steel industry.

The ability to buy and sell physical product will be critical to creating a=
=20
commodity product in these businesses.  Getting access to the physical=20
product will require creating compelling financing structures, as well as=
=20
potentially buying assets to get control of their production capability.  I=
n=20
all these situations, the Transaction Development team will be a key player=
=20
in driving these opportunities to closure.


PEP - REVIEWER FEEDBACK DEADLINE
The Year End 2000 Performance Review Process closes November 17. To access=
=20
PEP, go to http://pep.corp.enron.com.  To avoid system delays, please log-o=
n=20
before the deadline.

If you have any problems accessing the system or have any questions regardi=
ng=20
the Performance Management Process, please call the HR Helpdesk at x3.4040=
=20
"
38,http://www.dovewinds.com/dubya/
39,"Sounds good to me. I haven't talked with Dad today so I'll let you know
later.  LU-M
"
40,"If you would like for me to send cards to your customers, please provide me 
with a list of their names and addresses by next Friday, 11/17.  I will get 
the amount of cards as per however many customer names I am given.  I will 
then have everyone sign one card so that I can send it out to get the 
signatures lasered on the customer's cards.  I've already spoken with the 
others on the desk, and they either aren't interested or they've gotten their 
primary assistants to take care of it.

Elsa, as we've previously discussed, I can use the list that we just recently 
updated.  Please let me know if you are going to select people from that 
list, or if you are just going to send a card to everybody on it.

Thanks guys,
Laura"
41,"Pretty funny stuff.

 - salmon[1].asf


"
42,"  [IMAGE]  =09  [IMAGE] =20

=09
=09
=09[IMAGE]
=09
=09
=09The 'goal post' motivation factor=20
=09=20
=09Nov. 9, 2000=20
=09=20
=09
=09[IMAGE]Chip Brown, who covers UT football for The Dallas Morning News,=
=20
answers your questions about injuries, Chris Simms, bowl prospects and more=
.=20
Inside UT Football appears on Thursdays.=20
=09
=09=20
"
43,"We are making a number of significant organizational changes.  These change=
s=20
are intended to accomplish four key objectives:

First, we need to realign all our wholesale businesses around the successfu=
l=20
business model developed over the last decade in North America and Europe. =
=20
This model relies on extensive physical and transactional networks built=20
around a relatively small strategic asset position.

Second, we need to significantly streamline corporate reporting=20
relationships.  Particularly with Joe Sutton=01,s departure, the ability to=
=20
directly manage the day-to-day activities of 15 independent business units=
=20
has become increasingly difficult.

Third, we need to accomplish these changes without, in any way, compromisin=
g=20
the ongoing profitability of all our businesses and without delaying or=20
hindering our effort to monetize a significant portion of our lower-yieldin=
g=20
asset positions.

And fourth, as always, we need to take advantage of the reorganization to=
=20
redeploy our talent into our highest value opportunities.

ENRON WHOLESALE SERVICES

Today, we are forming Enron Wholesale Services (EWS) which will consolidate=
=20
our global wholesale businesses.  The closer alignment of our wholesale=20
businesses will accomplish the following: (1) enhanced communication and=20
coordination across business units, (2) more rapid deployment of people to=
=20
higher valued opportunities, (3) more effective prioritization of=20
opportunities across the wholesale business, and (4) more rapid extension o=
f=20
Enron=01,s wholesale business model and capabilities into new industries an=
d=20
markets.

Enron Wholesale Services will include our current North American, European=
=20
(including Japan and Australia), Global Markets, and Industrial Markets=20
operations, and will be expanded to include Enron=01,s Net Works business u=
nit=20
as well as a new unit =01) Enron Global Assets.  In addition, Enron=01,s me=
rchant=20
businesses outside of North America and Europe will be integrated into this=
=20
new structure as described below.

Mark Frevert, currently Chairman of each of our wholesale units, will assum=
e=20
the role of Chairman and CEO of Enron Wholesale Services.  Greg Whalley,=20
currently Chairman and CEO of Enron Net Works, will join Mark in the Office=
=20
of the Chairman as President and Chief Operating Officer.

Providing further impetus for these organizational changes, several of our=
=20
international business unit leaders have elected to move into new leadershi=
p=20
positions:

Rebecca McDonald, currently CEO of Enron APACHI, will join EWS as President=
=20
and CEO of Enron Global Assets. Enron Global Assets will have responsibilit=
y=20
for managing all of Enron=01,s existing energy asset portfolio outside of N=
orth=20
America and Europe.  Joining Rebecca in the Office of the Chairman as COO=
=20
will be Jim Hughes, currently COO of Enron APACHI.  Rebecca and Jim will=20
report to the EWS Office of the Chairman.

Sanjay Bhatnagar, currently CEO of Enron India, has joined EBS as CEO for t=
he=20
Middle East and Asia region.  Sanjay will be responsible for building our=
=20
broadband business in this region and the current EBS team in this region=
=20
will report to Sanjay.  In this role, Sanjay will report to the EBS office =
of=20
the Chairman.  In addition, Sanjay will continue to remain responsible for=
=20
Enron=01,s wholesale energy business in India and will transition this busi=
ness=20
into Enron Global Assets in the near future.
=20
Diomedes Christodoulou, currently Co-CEO of Enron South America, has joined=
=20
EBS as Chief Commercial Officer.  Diomedes will be located in London and wi=
ll=20
focus his origination activities on global opportunities, with near term=20
attention to the wholesale and enterprise sectors.  Diomedes will report to=
=20
the EBS Office of the Chairman.

Jim Bannantine, currently Co-CEO of Enron South America, will be joining EE=
S=20
to lead EES=01, commercial efforts outside North America and Europe.  In or=
der=20
to ensure a smooth transition for our South American businesses and to=20
facilitate our asset sales activities, Jim will remain in South America for=
=20
at least the next several months and continue to serve as CEO of Enron Sout=
h=20
America.  Throughout the transition, Jim will report to Cliff Baxter and to=
=20
the Office of the Chairman of Enron Wholesale Services.  Following the=20
transition, Jim will join EES.

In addition to these changes in our international asset operations=20
activities, we are making the following changes in our merchant wholesale=
=20
businesses and the commercial support functions:

Enron Net Works
Louise Kitchen will assume Greg=01,s previous responsibilities as President=
 and=20
CEO of Enron Net Works, reporting into Mark and Greg. =20

Enron Americas
Concurrent with the transfer to Enron Global Assets of responsibility for=
=20
operating Enron=01,s South and Central America asset base, all trading,=20
marketing, and new asset development activities in these regions will repor=
t=20
into a new entity, Enron Americas.  Enron Americas will have responsibility=
=20
for all wholesale merchant businesses across North, Central and South=20
America.  Dave Delainey, President and CEO, and John Lavorato, Chief=20
Operating Officer will comprise the Office of the Chairman for Enron=20
Americas.

Enron Europe
The Enron Europe organization, which includes Enron=01,s businesses in Aust=
ralia=20
and Japan, and Enron Metals, remains unchanged under the leadership of John=
=20
Sherriff, President and CEO, and Michael Brown, Chief Operating Officer.

Enron Global Markets
Enron Global Markets, under the leadership of Mike McConnell, President and=
=20
CEO, and Jeff Shankman, Chief Operating Officer, will continue to have=20
responsibility for Enron=01,s Middle East and LNG operations.  With the=20
exception of Ecoelectrica in Puerto Rico, all operating power plants and=20
associated personnel in the Caribbean and Central America will transfer to=
=20
Enron Global Assets.  Enron Global Markets will also continue to manage the=
=20
commodity businesses in crude and products, coal, weather, insurance,=20
equities, interest rates, foreign exchange, and agricultural products.

Enron Industrial Markets
Enron Industrial Markets=01, organization, under the leadership of Jeff McM=
ahon,=20
President & CEO, and Ray Bowen, Chief Operating Officer, remains unchanged.

Commercial Support for EWS
The commercial support functions for EWS will remain with, and be managed b=
y,=20
the individual business units.  We are creating no incremental overhead in=
=20
the creation of EWS, and in fact hope to reduce our operating costs by more=
=20
efficient utilization and sharing of resources across EWS.

To this end we have asked several people to take on an expanded role across=
=20
EWS in addition to their ongoing roles within their business units.  These=
=20
newly defined roles are as follows:

Mid and Back Office Operations =01) Sally Beck will lead Mid and Back Offic=
e=20
Operations across EWS.  These services will become part of Enron Net Works,=
=20
with Sally reporting to Louise Kitchen and Rick Causey, Executive Vice=20
President and Chief Accounting Officer.  This alignment creates a coordinat=
ed=20
services organization with IT and e-commerce platforms to support the=20
wholesale businesses and to maximize opportunities to commercialize these=
=20
services.  Mid and Back Office services for all commercial activities will=
=20
continue to be organized with dedicated operations controllers responsible=
=20
for specific commodities and/or geographic locations.
Legal =01) Mark Haedicke will serve in the role of General Counsel for EWS.
Regulatory and Government Affairs =01) This function will remain organized =
on a=20
regional basis.  Rick Shapiro will support all EWS businesses operating in=
=20
the Americas, and Mark Schroeder, who is based in London, will support all=
=20
European and Eastern Hemisphere operations.  Rick and Mark will also contin=
ue=20
to support all other Enron businesses operating in their respective regions=
=20
and will continue to report to Steve Kean, Executive Vice President and Chi=
ef=20
of Staff.
Public Relations =01) This function is also organized primarily on a region=
al=20
basis.  Eric Thode will have responsibility for North American activity,=20
Enron Net Works, and Enron Industrial Markets.  Jackie Gentle will continue=
=20
in her role for Enron Europe (including Japan and Australia) and John Amble=
r=20
will have responsibility for activity outside North America and Europe as=
=20
well as providing support for Enron Global Markets and Enron Global Assets.=
 =20
These individuals will also continue to have a split reporting relationship=
=20
to Mark Palmer, Vice President of Communications.
Business Analysis and Reporting =01) Wes Colwell will expand his role to co=
ver=20
EWS reporting in addition to his current role in North America.

Attached for your review is an organization chart for Enron Wholesale=20
Services which summarizes the changes described here.  As this organization=
=20
continues to evolve we will keep you informed of any additional changes.

ENRON GLOBAL EXPLORATION AND PRODUCTION
AND ENRON WIND

 As part of our company-wide initiative to examine our assets and investmen=
ts=20
around the world, we are considering a variety of options with respect to=
=20
EGEP and EWC.  As a consequence, we are putting these businesses under Clif=
f=20
Baxter=01,s direction.  Jeff Sherrick, CEO of EGEP, and Jim Noles, CEO of E=
nron=20
Wind, will report to Cliff.

CORPORATE STAFF

 We are consolidating the corporate staff functions: Human Resources,=20
Government Affairs, Public Relations/Communications and Administration.  In=
=20
that regard, Cindy Olson, Executive Vice President of Human Resources and=
=20
Community Relations, will report to Steve Kean, Executive Vice President an=
d=20
Chief of Staff.

COMMITTEE STRUCTURE

 In light of the increased leadership opportunities created by Enron=01,s=
=20
growth, the Executive Committee will be expanded to include more of our=20
business unit leaders.  The primary role of this committee will continue to=
=20
be the communication of relevant information across Enron=01,s businesses a=
nd=20
the coordination of activities across those businesses.  We will also be=20
drawing on this group to lead company-wide initiatives such as the=20
performance review process and evaluation and creation of new businesses. =
=20
The Executive Committee membership is shown on the attached list.

 We are also forming a new committee =01) the Enron Corporate Policy Commit=
tee. =20
This group will be responsible for overall corporate policy, personnel=20
management policy and corporate strategy.  The Enron Corporate Policy=20
Committee membership is also shown on the attached list.

 We are confident that these changes will align our talent and our capital =
to=20
our highest return opportunities.  Please join us in congratulating and=20
supporting all of these individuals in their new roles.
"
44,"Hi Folks,

Once again, we tap Mike McVay, our Meteorologist / Fantasy Football Fanatic
for some insights.  I know many of you have lineup deadlines today.  We'll
try to get one last update from Mike on Saturday.

Thanks Mike!

Joe




"
45,"Congratulations to all of the tournament winners!  

The Fooseball Champions are Sebastien Bouvier and Gallin Fortunov of EES

The Air Hockey Champion is Sebastien Bouvier of EES.

The Darts Champion is James Whitehead of Networks.

If you have not picked up your Showdown T-shirt, please come to EB737 to get 
one.  Thanks!"
46,"-

http://www.rsn.com/pages/include/cams/campic.html?rsn_resort=telluride
"
47,"A guy at work is thinking about upgrading his home speakers.  He really likes 
a set already and wants to buy them, but they require a high powered amp. 
His question is does the quality of the amp make that big of a difference 
assuming equivalent power levels?  i.e for a given level of power how much 
does the quality of the high end amp matter?

Thanks"
48,"I am trying to organize everybody's turret so that we have all of the Texas 
Desk people on one page.  This will be especially beneficial for when we have 
people out.  The phone guys are going to completely wipe out what you 
curretnly have on Page 6, so if there is anything other than Texas Desk 
employees, let me know so that they don't get deleted.  

I would also like to reserve some space on Page7 for the rollover lines, so 
ditto with Page 7 as with Page 6.

Let's put a deadline of December 1st for this .... that should be enough time 
for you busy people to let me know if there's a problem.  I'd like to have 
this done on December 4th.

Thanks,
Laura"
49,"SIPPING VODKA
A new priest at his first mass was so nervous he could hardly
speak. After mass he asked the monsignor how he had done.
The monsignor replied, ""When I am worried about getting nervous
on the pulpit, I put a glass of vodka next to the water
glass.  If I start to get nervous, I take a sip.""
So next Sunday he took the monsignor's advice. At the beginning
of the sermon, he got nervous and took a drink.  He
proceeded to talk up a storm. Upon his return to his office after mass, he
found the following note on the door:

1.  Sip the Vodka, don't gulp.
2.  There are 10 commandments, not 12.
3.  There are 12 disciples, not 10.
4.  Jesus was consecrated, not constipated.
5.  Jacob wagered his donkey, he did not bet his ass.
6.  We do not refer to Jesus Christ as the late J. C.
7.  The Father, Son, and Holy Ghost are not
referred to as daddy, junior, and the spook.
8.  David slew Goliath, he did not kick the shit out of him.
9.  When David was hit by a rock and knocked off his donkey, don't
say he was stoned off his ass.
10. We do not refer to the cross as the ""Big T.""
11. When Jesus broke the bread at the Last Supper he
said,""Take this and eat it for it is my body.""  He did not
say, Eat me""
12.  The Virgin Mary is not called ""Mary with the Cherry,""
13.  The recommended grace before a meal is not: Rub-A-Dub-Dub
thanks for the grub, yeah God.
14.  Next Sunday there will be a taffy pulling contest at
St.Peter's, not a peter pulling contest at St.Taffy's.


The origination of this letter is unknown, but it brings
good luck to everyone who passes it on.  The one who breaks the
chain will have bad luck. Do not keep this letter.  Do not send money.
Just forward it to five of your friends to whom you wish good luck.  You
will  see that something good happens to you four days from now if the chain
is not broken.

""I don't know the key to success, but the key to failure is to try to
please everyone...""
- Bill Cosby...

_________________________________________________________________________
Get Your Private, Free E-mail from MSN Hotmail at http://www.hotmail.com.

Share information about yourself, create your own public profile at
http://profiles.msn.com.



"
50,"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
          A MESSAGE FROM GOVERNOR GEORGE W. BUSH
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

                                     Sunday, November 5, 2000


  Dear Friend:

  Tuesday is Election Day and I'm asking for your vote.

  Americans are ready for a fresh start. They want a leader
  who trusts them -- not government -- to make decisions for
  their communities.  They want bold leadership that will
  reach across party lines to get things done.

  I am that leader.  I will work to change the tone in
  Washington, D.C. to use these good times for great
  purposes such as reforming public education so every
  child learns to read and creating an environment where
  entrepreneurs and families can flourish and realize their
  dreams.

  I am also committed to providing immediate prescription
  drug coverage for seniors and strengthening our Social
  Security to preserve its benefits for the greatest
  generation and their children and grandchildren.

  This is a close race. Every vote matters. I'm asking for
  your vote and your help.  I urge you to click on this
  link (http://www.georgewbush.com/you.html) for the tools
  that will help you get one undecided voter to vote.
  Please take your family, friends and neighbors to the
  polls to vote for me on Tuesday, November 7th.


  Sincerely,


  George W. Bush
  Governor
  State of Texas


  P.S. If you receive a phone call attacking me or my
  proposals please record it or make note of the attack
  and report it by calling 1-800-878-9374.

  Visit http://www.georgewbush.com

  AOL Links:
  <a href=http://www.georgewbush.com/you.html>The Power of You</a>
  <a href=http://www.georgewbush.com>GeorgeWBush.com</a>

_____________________________________________________________


  Paid for by Bush-Cheney 2000, Inc.
  http://www.georgewbush.com

  Campaign materials, wearables and more
  http://www.georgewbushstore.com




==============================================================================


To unsubscribe, please go here:

"
51,"Hi E,
?
Have a great weekend and drive carefully.?  Tell Shanna hi and we'll see you 
Tuesday.? By the way, I just got back from  voting early.? It's raining and a 
lot of Repubs. were there standing in  line.? Everybody is tired of 
Clinton/Gore dirty tricks.?  LU-M"
52,"This in an automated e-mail sent out from the Commissioner.COM web site.
Go to http://football.commissioner.com/ene
"
53,"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 Did a friend forward this to you?  Get on the Bush eTrain and
 have updates sent directly to you:  http://www.BushETrain.com
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

              CALLING ALL TEXANS

Texas E-Rangers:

WE STILL NEED YOUR HELP!!!  Gore Democrats are still attacking
Texas and lying about Governor Bush's record of success.

  We need Texas E-Rangers to choose a site below, sign up, and start
  posting pro-Bush content!

THESE SITES STILL DON'T HAVE ENOUGH PRO-BUSH TRAFFIC!
SIGN ON AND MAKE A DIFFERENCE.  E-Rangers have already
turned the tide on several sites.  Let's turn these around, too.

  Yahoo!
  http://chat.yahoo.com/

  ABC
  http://boards.go.com/cgi/abcnews/request.dll?LIST&room=primary

  CBS
  http://www.delphi.com/cbscamp2000/start/

  Deja
  http://www.deja.com

  Coolboard
  http://coolboard.com/index.cfm

  Lycos
  http://clubs.lycos.com/live/Annotation/BoardsHome.asp?Area=3

HELP FIGHT THE LIES GORE DEMOCRATS ARE SPREADING ABOUT
THE TEXAS ENVIRONMENT!  Please send the following information to
your friends and let's set the record straight!

Share these facts with your friends:
  ~ 11 percent decline in industrial emission since 1994
  ~ 43 million pound reduction of toxic releases from 1995 to
    1998, which leads the nation.
  ~ 44 percent decline in toxic releases from 1988 to 1997,
    one of the largest reductions in the United States.
  ~ 67 percent decline in lead pollution from 1988 to 1997,
    one of the largest reductions in the United States.
  ~ 43 percent deduction of volatile organic compounds
    compared to only 16 percent nationally.

______________________________________________________________


  Paid for by Bush-Cheney 2000, Inc.
  http://www.georgewbush.com

  Campaign materials, wearables and more
  http://www.georgewbushstore.com



==============================================================================


To unsubscribe, please go here:

"
54,Please check the website for a new article and poll.
