,mail_content
10,do you mind if i go out with the boys from work tonight?
11,"very funny today...during the free fall, couldn't price jv and xh low enough 
on eol, just kept getting cracked.  when we stabilized, customers came in to 
buy and couldnt price it high enough.  winter versus apr went from +23 cents 
when we were at the bottom to +27 when april rallied at the end even though 
it should have tightened theoretically.  however, april is being supported 
just off the strip.  getting word a lot of utilities are going in front of 
the puc trying to get approval for hedging programs this year.  




"
12,"We've started breaking out separate P&L's.  It's been a very difficult 
process so far for a number of reasons.  The last processes will be 
separating out the P&L on the executive reports and on VAR. That will happen 
this week.  Meanwhile, the P&L will be retroactive to the start of the year 
and we are going through all the positions such that the total skew is zero 
or an adjustment will be made to get it there.   At the end of the year there 
will be a number next to Maggi's name that he will not dispute.  His 
contribution to the fixed side when I'm on vacations or in meetings will 
continue to be a subjective process.


"
13,"both.   i have it on dutch's machine just in case something ever pops up but 
it rarely does


"
14,"greg:
what is the (correct) formula you devised for profitability on last trade is 
mid?"
15,"you must bet sugar and orange bowls




"
16,"think you're pretty clever, don't you?




"
17,"Due to the NW-LT exotic book not being officialized, the positions and VAR 
are not correct in our system.  Therefore, VAR reports will not be produced 
today.
Thanks,
Rebecca"
18,"Diane,

As for the RMT matter the request is as follows:

	1.	Lives Deal as of November 30, 2001
	2.	Expired Deals since November 30, 2001
	3.	New Deals since November 30, 2001

Thanks for the help.

Susan 

 "
19,"Denver Plachy is my admin.

Thanks,

Eric




Janie Aguayo
01/22/2001 11:59 AM
"
20,"Now I see how you guys have been winning all of your games - through 
cheating.  You are supposed to have at least one player on IR each week.  A 
designated IR player cannot play.  There are no IR moves during the week.  
That means that at least one person on your team should score no points each 
week.

out "
21,when are you leaving?
22,"November 21, 2000


This week's Click 'n Save Email Update is a
reminder of the great $99/$109 or less each way
Coast-to-Coast southwest.com Only Specials

Your Invitation to e-Freedom still stands.
Gobble It Up!

********* southwest.com e-Freedom Sale *********

Who: southwest.com Customers.

What: Internet Specials for $99/$109 or less each way.

Where: All cities with scheduled Southwest Airlines
 service.

When: 7-day advance purchase beginning
 at 7:00 AM CST on November 17, 2000 through
 December 1, 2000, midnight Pacific Time.
 Travel beginning November 28, 2000 through
 March 30, 2001.

Why: To give you the Freedom to move about the country.

How: Go to http://www.southwest.com/hotfares/?src=click

************************************************

Here are the details of the southwest.com Internet Special:
*Tuesday, Wednesday, and Saturday $99 or less each
way Internet Specials are available only on southwest.com
and may be combined with any other fare type.

*Monday, Thursday, Friday, and Sunday $109 or less each
way Internet Specials are available only on southwest.com
and may be combined with any other fare type.

All with the following restrictions:

*7-day advance purchase
*Travel November 28, 2000 through March 30, 2001.
 Florida markets will be blacked out March 15-30, 2001.
*Purchase beginning November 17 through
 December 1, 2000, midnight Pacific Time.
*southwest.com Internet Specials are available one-way or
 may be combined with any other fare.
 When combining with another fare, the
 most restrictive fare rules apply.
*Changes to any portion of the reservation
 (flight, dates, cities, and/or names of passengers),
 once purchased, will result in the cancellation of
 the ENTIRE reservation and rebooking at the lowest
 fare available which could result in a fare increase.

Fares do not include a federal excise tax of up to $2.75
that will be imposed on each flight segment of your
itinerary. A flight segment is defined as a takeoff and
a landing. The fares listed do not include airport-assessed
passenger facility charges (PFCs) of up to $12 roundtrip.

southwest.com Internet Specials are nonchangeable and
nonrefundable. *Ticketless Travel Online may only be
purchased with a credit card. Customers holding funds from
a previously unused trip on Southwest Airlines or Customers
who have Southwest Airlines vouchers will not be able to use
those forms of payment for Ticketless Travel Online.
*Unused funds may be applied toward future travel on
Southwest Airlines within one year of the original purchase date.

Seats are limited and won't be available on some
flights that operate during very busy travel times
and holiday periods.

Standby travel requires an upgrade to the
full unrestricted fare.

*************** SUBSCRIBER INFORMATION ******************
Please pass this great news on to your friends!
To subscribe to Southwest Airlines E-mail Updates,
visit http://www.southwest.com/email/

Remember, if you change your Internet service provider,
you will need to unsubscribe and resubscribe in order
to continue receiving Southwest Airlines e-mail updates.
Please visit our subscription page at:
http://www.southwest.com/email/

*********************************************************

This is a post only mailing from Southwest Airlines.
Please do not attempt to respond to this message.

Copyright 2000 Southwest Airlines Co. All Rights Reserved.


"
23,"yep, he's good to go.


   
	
	
"
24,"Hope all is well.  Is this in reference to the Enron/Andersen Consulting 
football game?  When is it?  Do you need me to play?  Give me a call and we 
can discuss (3-9557).  

Thanks,

Paul





"
25,http://www.telski.com/tandp/extras/photo_of_day/index.html
