,mail_content
20,"> Market Participants and Stakeholders:
>
> The draft agenda on the detailed studies being conducted for the
> Valley-Rainbow 500 kV Project as well as draft summer peak and spring
> shoulder peak base cases have been posted on the Cal-ISO web page
> http://www.caiso.com/thegrid/planning/sdge500kvtrans.html.
>
> Please submit your comments no later than August 17, 2000 to  Linda Brown
"
21,"OUTLOOK EMAIL NOTIFICATION

Your Date of Migration is: TUESDAY, JUNE 12TH

YOU WILL BE UNABLE TO SEND E-MAIL unless you take the following action:
Please go through your Notes email and clean out as many old/un-needed emai=
l=20
items as possible BEFORE your date of migration.? After you are migrated to=
=20
Outlook you will only be allocated 100MB of total Mailbox space.?? If more=
=20
than this amount of data is migrated to Outlook YOU WILL NOT BE ABLE TO SEN=
D=20
E-MAIL until it is below the 100MB limit.? Cleaning up your Notes email now=
=20
will prevent this from happening to YOU.

Enron=01,s messaging platform is migrating from Lotus Notes to Microsoft Ou=
tlook=20
2000 worldwide.  You will be accessing Outlook for all of your email=20
functions.=20

WHY IS ENRON MIGRATING TO OUTLOOK 2000?

Many factors contributed to the decision to migrate from Lotus Notes to=20
Microsoft Exchange/Outlook.  The most prominent factors were:

? Significant advantages to moving to a product that is more integrated wit=
h=20
current Enron apps (Windows 2000, Office and Internet Explorer)
? More efficient Shared PC and Roaming User features
? Improved support and integration for Palm/CE devices
? Instant Messaging capabilities

WHAT IS BEING MIGRATED TO OUTLOOK 2000?

? Email Messages.  From the date of your scheduled migration, the last (30)=
=20
thirty days of your Email will be converted for use in Outlook.
? All your folders in Notes you use to store email messages in.
? To Do Items
? Journal Items
? Calendar Entries dating from (1) one year in the past to (10) ten years i=
n=20
the future will be converted.
? Address Books, but NOT your Distribution Lists that you created.  You wil=
l=20
need to re-create these in Outlook.

Thank you,

Outlook 2000 Migration Team
"
22,I am out of the office.  If you need assistance please call Heather at Ext.33278 or Beth Apollo at Ext 35014. I will be back on Monday March 18.  Thanks  bob
23,"Background

As you may remember, in September John Miller called to find out if we want to sell Willow Farms.  At that time, I told him I would find out from the group.

In December, he called again, and we missed one another, but I finally told, via voicemail, that we would entertain and consider and offer to buy Willow Farms but that we would not consider any kind of partnership or joint venture and we wanted a straight sale.  I then told him that if he was still interested that he should give it his best shot, and we would consider whatever he sent us.

My Discussion of 1/30/02

John called me back on 1/17/02, and I returned his call today.  I told John the following:

1.  The group is still interested in whatever he would propose, but I wanted to make some things clear so he didn't think we were wasting his time.

2.  I told him that in reality, all don't want to sell, but 2 out of 3 do, and I won't stand in the way of a satisfactory sale.

3.  We still do not want to participate in any development or sale, the price cannot be dependent on success of sales and a sale must be all or nothing.  I told him that I could not agree to any sale that allowed a ""cherry picking"" of good lots and left other lots behind, because once sales started it puts pressure to complete the development or else all prices suffer under perception of ""undesirable"" development.

4.  I told him that the only reason we are having this discussion now is that due to the property tax revaluations the carrying costs of the lots has increased.  Therefore, any sale must be structured to take that carrying cost pressure off, hence, a sale of all or nothing.

After stating these ground rules, I told him that I would understand if he wasn't interested, but that if he was, he should just give us his ""best"" proposal.

He then asked how many lots, and I told him 8 with a 9th possible, but owned only by my mom.  He said let's keep that out for now.  I also told him that within the next 2 years, the lot with the house might also be sold, but that that was up to my parents.

He then said the following:

1.  He is interested too in reducing his risk, so he might be interested in deal where he would guarantee the purchase of 2 lots every year for 4 years.  It would be a guarantee.

2.  He asked me if we had any idea of the value we wanted for the lots.  I said there are different ideas and no consensus, so I said I had no number to give him.  I reiterated to him that he knows more than me (since I'm just a lawyer in Denver) and he should give it his best shot.

I then commented to him on his suggestion:

1.  I told him that any deal that did not ensure sale of all lots was just not acceptable, so the extent of his guarantee of 2 lots per year had to be firm as to 8 lots over 4 years to even be considered.  I told him then it would appear just to be a means of financing the sale (not reducing his risk) and allowing us to keep title to the unsold lots rather than tie them up with a mortgage.

2.  I told him that his proposal may not be worth considering if it allowed the kind of cherry picking I referred to above and the kind of pressure to pick up the remaining lots at lower prices that I referred to above. I told him to consider these concerns in his proposal.

3.  I told him that because what brought us to the table now is the increased carrying costs of the lots, any proposal by him that still puts pressure on us to carry these lots and expend finds, will not be well received.  For example, I told him that I have some concern that any 2 lot per year deal will result in immediately increased carrying costs resulting from revaluation of the remaining lots for property tax purposes based upon the first purchases.  I told him that that would not be well received by us.

How We Ended It

I told him that I wanted to make clear my concerns so that he doesn't waste his time and feel resentful if we reject his offer. I told him that I wanted to be above board and that my reputation was important to me. He said he understood and appreciated the details.

He said he will put a proposal together, and I told him to send it to Leonard at the office, since I am not good at being the middleman.

Let me know if I goofed up or did ok.

- Dan
1/30/02"
24,"Your SAP user ID is P00501250.  Your initial password is your birthdate in 
YYYYMMDD format.    808333
"
25,"thanks, again, for calling me back last night!"
26,"I have a new cell phone number.  It is 713-628-3104.

EPB"
27,"  Crash and burn
Louisville courtship of Rockets in jeopardy

June 13, 2000 1:42 p.m. ET

Associated Press

HOUSTON =01* The bid by Louisville, Ky., to land the Houston Rockets appear=
s to=20
have fallen through.
Jefferson County in Kentucky on Monday declined to join a three-pronged=20
proposal that would publicly finance a downtown basketball arena.

The plan suggested the city, county and state each issue up to $30 million =
in=20
bonds to cover a portion of an arena that could cost $220 million.

The arena would be built to attract the Rockets or another professional=20
basketball team.

Team officials visited with Louisville business and government leaders last=
=20
month. The Rockets have also been in negotiations with Baltimore, New Orlea=
ns=20
and St. Louis, but Louisville was the only city to publicly court the team.

City officials wanted to submit a proposal to the Rockets by Tuesday, but t=
he=20
county indicated it wasn't ready to participate in the plan, the Houston=20
Chronicle reported Tuesday.

""Please do not issue any statements of commitment, or send a memorandum of=
=20
understanding at this time on behalf of the county,"" Jefferson County=20
Judge/Executive Rebecca Jackson wrote in a letter that was delivered to=20
Louisville Mayor David Armstrong.

The letter, dated Monday, was also signed by the county's three commissione=
rs.

The Rockets declined comment on the development, but denied ever giving=20
Louisville attorney J. Bruce Miller a deadline to submit a proposal.

Meanwhile Monday, about 35 protesters chanted ""don't pick our pockets to pa=
y=20
for the Rockets!"" in front of the county courthouse in Louisville to protes=
t=20
spending public money on an arena.

The Rockets have been considering a move since November, when voters in=20
Houston rejected a plan to build them a $160 million arena.



"
28,"Greetings from Amazon.com.  Thanks for updating the shipping
address for your order #107-7339612-5270104 to:

     Eric P. Bass
     1400 Smith St.
     Houston, TX
     77002

     Phone Number: 713-853-0977


Your order will be paid using the credit card number that
you provided.

When your order is shipped, we will send you an e-mail message
confirming the date, contents, and method of your shipment.

Please note that you can supply a different shipping address
each time a new order is placed, or simply select from any
address previously used with your account.  If you requested
any additional changes to this order, you will receive a separate
e-mail to confirm those changes.

Thanks for shopping at Amazon.com.


"
29,"it is a complex on revere street which is just east of kirby on westheimer.  
it is where james used to live. they have 1bedroom/studies so that is nice.




"
30,"I don't know where your friend got his info from . . .

http://cbs.sportsline.com/u/ce/multi/0,1329,3369131_56,00.html "
31,"Wilkerson is the number 3 prospect in the country at lineman behind Johnathon 
Scott a commitment of guess who - Texas.

http://louisianastate.rivals.com/default.asp?sid=40&p=3&sp=1&pl=-13604        
                      Wilkerson
http://longhornlink.rivals.com/default.asp?sid=798&p=3&sp=1&pl=-12695         
                           Scott



"
32,"Hi Mom,

Ruth Chris would be nice.  I don't know anything anout Cafe Natalie.  Use 
your judgement.  

We are about to leave for SD.  So I will give you a call from there.  
Don't forget to cheer for the horns and . . .

Hook 'em!





"
33,"Dear Eric,

Thank you for signing your petition to certify the election
at ElectionIntegrity2000.com.

Like many Americans, I'm sure you're trying to get the most
accurate, up-to-the-minute information about what's
happening down in Florida.  But can you really trust the
information you get from the liberal media?

In fact, the liberal media has been behind this election
controversy from the beginning.

That's why I'm passing on to you this letter I received
from my friend Jim Roberts at Radio America.

Radio America is doing something about this attempt by the
liberal media to hijack the election.  I urge you to take
just a minute to read Jim's letter and to listen to Radio
America over the internet for unbiased election coverage.

For Election Integrity,
Bruce Eberle

"
34,"Something to get you ALL riled up!!  And you talk about LSU fans being bad- 
""Kill him""!!!
"
35,"?Register Today & Golf Free!

The LDC Forum d Winter of 2001
April 19-20, 2001 - Boston, Massachusetts


This year's Forum promises to be the best yet, with a special focus on: 
Adequacy of Northeast Supply "
36,"Please, no fruit bats this year, Lenny!







"
37,"yeah, try to be there on time - preferably 6:30 - b/c we only have eight 
people




"
38,"  

Petroleum


Argus

  _____  


To find out more email:
"
39,"  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	
 Capital One <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/c1logo.gif>	 Online Account Solutions <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/oasheader.gif>	
  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	
 	   <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/maintop.gif>	  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	
  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	 	 Dear Eric P Bass,

Happy New Year! And thank you for making Online Account Services your first choice for managing your Capital One
 account. This year, we look forward to helping you save time and eliminate hassles. Take a look to see how we've updated Online Account Services for even easier use in 2002.

Your user name: DOMINATOR1284	  	   <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	 Easy Account Access <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/1easy.gif>

Access your Capital One account now by visiting us online <http://capitalone.bfi0.com/Y0RH0615AF4B7B32BD76>. 	

 Forgot Login Information? <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/2forgot.gif>

No need to call customer service. No need to register again. Visit the Online Account Services site to answer a few questions to confirm your user name and reset your password. Then log in!

Click here to go to ""Forgot Login Information"" now! <http://capitalone.bfi0.com/Y0RH0615AF757B32BD76>	 

 What's New With You? <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/3new.gif>

New address? New e-mail account? You can change your e-mail and mailing addresses online-without having to wait on the telephone. It's the fast, easy way to tell us what's new.

Visit our Customer Service section online <http://capitalone.bfi0.com/Y0RH0615AF747B32BD76> to update your personal information! 	

 Protect Your Credit <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/4protect.gif>

Financial hangover from the holidays? 
Our credit information may be the cure. Check out Credit Security for ways to protect and improve your credit and a whole lot more. 

Why worry? Visit Credit Security <http://capitalone.bfi0.com/Y0RH0615AF777B32BD76>.	
 Convenience <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/convenience.gif>	  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>
  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	
  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	We've redesigned our Web site, so it's even easier to use!	   <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	
  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	
 	 If you haven't visited Online Account Services in the past month or so, you may have missed some exciting changes. For starters, it has a great new look and is easier to navigate. 

The only thing that hasn't changed is the convenience. You can still access account information-including your balance, payments, and transactions-24 hours a day, 7 days a week*. It's the best way to easily manage your account after holiday spending. Log in to view statements up to six months old at any time. The information you will access is as current and accurate as what you would receive by calling Capital One.
	 	 
 	   <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	 	 
Log in <http://capitalone.bfi0.com/Y0RH0615AF767B32BD76>	 
Log in to check your available credit
Log in to see your minimum payment due
Log in to view past statements

  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	
  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	
  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	With Online Account Services, you get your account information when you want it. Why search through old statements?

Log in to Online Account Services now <http://capitalone.bfi0.com/Y0RH0615AF497B32BD76>!	   <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	
 Safe & Easy <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/safeeasy.gif>	  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	
  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	Make an online payment, and then sit back and relax.	   <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	
  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	
 	 Log in now to make quick, free, and secure payments to your Capital One account online. To understand when your payment posts to your account, refer to the chart below:	  	 
  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	 	 
  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif> Payment post chart <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/chart.gif>	
Log in <http://capitalone.bfi0.com/Y0RH0615AF4E7B32BD76>	 
Log in to see when a payment has posted
Log in to set up an online payment (click on ""Pay My Bill"" and follow the easy instructions)

  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	
  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	
  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	No more checks to write! No more stamps to buy!

Log in to Online Account Services now <http://capitalone.bfi0.com/Y0RH0615AF717B32BD76>!	   <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	
  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/mainbot.gif>	  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	
  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	
  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	
  <http://images.bigfootinteractive.com/creative/new/attws/dec/oas/images/spacer.gif>	Important Information from Capital One

* The site may be unavailable during normal weekly maintenance or due to unforeseen circumstances.

Capital One and its service providers are committed to providing meaningful privacy protection for their customers. To protect your privacy, please do not send sensitive account information through e-mail. If you would like more information about Capital One's privacy policy, click here <http://capitalone.bfi0.com/Y0RH0615AF487B32BD76>.

"
40,"is there a problem with that?

i'd be mad too if I went to a school that had less students than UT has hot 
girls




   
	Enron Energy Services
	
"
